Path,Canonical,Transcript
L2_arctic_WAV/ABA_arctic_a0075,D E r/ h { z b I n @ tS e I n dZ S i I n t_h 3` V p_h t_h I d h I m,D E h { z b I n @ tS e I n dZ S i I n d 3` V p_h t_h I d h I m
L2_arctic_WAV/ABA_arctic_a0076,D @ g r/ e I a I z f A l t_h 3` d D V f l V S d i p_h @ n d,D @ g r/ e I a I z f E l t_h 3` d D V f l V S d i b @ n d
L2_arctic_WAV/ABA_arctic_a0077,I t_h I z D @ f a I r/ p_h A r/ t_h l i S i s E d,I t_h I z D @ f a I r/ p_h A r/ t_h l i S i s E d
L2_arctic_WAV/ABA_arctic_a0078,D E n @ n d { t_h s V p_h 3` h i t_h r/ a I d t_h u f { D @ m h 3`,D E n @ n d { t_h s V p_h 3` h i t_h r/ O I d t_h u f { T @ m h err
L2_arctic_WAV/ABA_arctic_a0079,I t_h w O z @ l A r/ dZ k_h @ n u,I t_h w O z @ l A r/ Z k_h { n u
L2_arctic_WAV/ABA_arctic_a0081,w V t_h I f S i d I d n A t_h k_h V m t_h u D V r/ A k_h,w V t_h I f S i d I d n t_h k_h V m t_h u D V r/ o U k_h
L2_arctic_WAV/ABA_arctic_a0082,h I z f e I s w O z s t_h r/ i m I N w I D b l V d,h I z f e I s w O z s t_h r/ i m I N k_h w I D b l V t_h
L2_arctic_WAV/ABA_arctic_a0085,@ t_h r/ I k_h @ l V v f r/ E S b l V d r/ { n o U v 3` h I z f e I s,@ t_h r/ I k_h @ err V v f r/ E S b l V d @ r/ { n o U v 3` h I z f e I s
L2_arctic_WAV/ABA_arctic_a0086,d E T h { d k_h V m w I T t_h E r/ @ b @ l s V d @ n n @ s,d E T h { d k_h V m w I T t_h E r/ @ p_h @ err s V d @ n n @ s
L2_arctic_WAV/ABA_arctic_a0088,h i m e I d S U r/ D { t_h D @ m { g @ z i n w O z l o U d @ d @ n d r/ i z u m d h I z p_h { d l I N,h i m e I d S U r/ D { t_h D @ m { g @ z i n w O z l o U d @ d @ n d r/ i s j u m d h I s b { d l I N k_h
L2_arctic_WAV/ABA_arctic_a0089,D V n a I t_h g l o U w O z t_h r/ E tS 3` @ s t_h u S u t_h b a I,D V n a I t_h g l u w O z t_h r/ E tS r/ @ s t_h u S U t_h b a I
L2_arctic_WAV/ABA_arctic_a0090,D @ s I N I N v O I s @ p_h r/ o U tS t_h r/ { p_h @ d l i,D @ s I N I N g v O I s @ p_h r/ o U tS @ t_h r/ { b @ d l i
L2_arctic_WAV/ABA_arctic_a0091,h I z b l V d g r/ u h A t_h w I D r/ e I dZ { t_h D @ T O t_h,h I z b l V d g r/ u h A t_h w A D r/ e I dZ { t_h D @ T o U t_h
L2_arctic_WAV/ABA_arctic_a0092,h i w E n t_h d a U n I n m I d s t_h r/ i m s 3` tS I N D @ S { d o U z V v b o U T S O r/ z,h i w E n t_h @ d a U @ n I n m I d @ s t_h r/ i m s 3` S I N k_h D @ S { d o U z V v p_h o U T S O s
L2_arctic_WAV/ABA_arctic_a0093,f O r/ @ f U l m I n @ t_h h i k_h r/ a U tS t_h @ n d l I s @ n d,f O r/ @ f U l m I n @ t_h h i k_h r/ o U tS @ t_h @ n d l I s @ n d
L2_arctic_WAV/ABA_arctic_a0094,h i h { d b E r/ l i E n t_h 3` d D I s w I n h i s O D @ g l o U V v @ f a I 3`,h i h { d p_h E r/ l i E n t_h 3` d D I s w I n h i s o U D @ g l o U V v @ f a I @
L2_arctic_WAV/ABA_arctic_a0095,@ b I g k_h { n v @ s t_h E n t_h w O z D @ f 3` s t_h T I N t_h u k_h V m w I T I n h I z v I Z @ n,@ b I g k_h { n v @ s t_h E n t_h w O z D @ f 3` s t_h T I N k_h t_h u k_h V m w I T I n h I z v I Z @ n
L2_arctic_WAV/ABA_arctic_a0096,p_h 3` h { p_h s S i h { d O l r/ E d i m E t_h h 3` f e I t_h @ l I t_h @ l d i p_h 3` I n D @ f O r/ @ s t_h,p_h r/ E h { p_h s S i h { d O l r/ E d i m E t_h h err f e I t_h @ l I t_h @ err d i p_h @ I n D @ f O r/ s t_h
L2_arctic_WAV/ABA_arctic_a0097,D E n j u k_h { n 3` e I n dZ j 3` s E l f k_h V m f 3` t_h @ b l i @ m V N D i z r/ o U b z I n D V b o U,D E n j u k_h { n 3` e I n tS j 3` s E l f k_h V m f 3` t_h @ b l i @ m V N k_h D i z r/ o U p_h s I n D V b o U
L2_arctic_WAV/ABA_arctic_a0098,S { l a I k_h { r/ i j u,S { l a I k_h { r/ i j u
L2_arctic_WAV/ABA_arctic_a0099,@ m { d @ n I N dZ O I p_h a U n d I d I n h I z b r/ e I n,@ m E d @ n I N Z O I b a U n d I d I n h I z p_h r/ e I n
L2_arctic_WAV/ABA_arctic_a0100,j u m V s t_h s l i p_h h i 3` dZ d,j u m V s @ s l i p_h h i 3` Z d
L2_arctic_WAV/ABA_arctic_a0101,j u j u w U d @ n t_h k_h i p_h D @ t_h r/ u T f r/ V m m i,j u j u w U d @ n t_h @ k_h i p_h D @ d r/ u T f r/ o U m m i
L2_arctic_WAV/ABA_arctic_a0102,h i w I l f A l o U V s s u n,h i w I err f o U l o U V s s u n
L2_arctic_WAV/ABA_arctic_a0103,b V t_h D E r/ k_h e I m n o U p_h r/ A m @ s f r/ V m D V b o U V v D @ k_h @ n u,b V t_h D I E r/ k_h e I m n o U p_h r/ o U m @ s f r/ V m D V p_h o U V v D @ k_h @ n u
L2_arctic_WAV/ABA_arctic_a0104,S i w O z s l i p_h I N V n d 3` h I z p_h 3` t_h E k_h S @ n { z s w i t_h l i { z @ tS a I l d,S i w O z s l i b I N k_h V n d 3` h I z p_h 3` t_h E k_h S @ n { z s w i t_h l i { z @ tS a I l d
L2_arctic_WAV/ABA_arctic_a0105,o U n l i I t_h I z s o U w V n d 3` f @ l s o U O l m o U s t_h I m p_h A s @ b @ l t_h u b I l i v,o U n i I t_h I z s o U w V n d 3` f @ l s o U O l m o U s t_h I m p_h o U s @ b @ l t_h u p_h I l i f
L2_arctic_WAV/ABA_arctic_a0106,D @ I m o U S @ n w I tS S i h { d s @ p_h r/ E s t_h b 3` s t_h f O r/ T n a U I n @ tS o U k_h I N s A b,D @ I m o U S @ n w I tS S i h { d s @ p_h r/ E s t_h p_h 3` s t_h f O r/ T n a U I n @ tS o U k_h I N s o U b
L2_arctic_WAV/ABA_arctic_a0107,I f j u o U n l i k_h U d n o U h a U a I T { N k_h j u,I f j u o U n i k_h U d n o U h a U a I T { N k_h j u
L2_arctic_WAV/ABA_arctic_a0108,h i w e I d I d I n t_h u D @ E dZ V v D @ w O t_h 3` @ n d b I g { n s k_h r/ V b I N h I m s E l f,h i w e I d I d I n t_h u D @ E dZ V v D @ w o U t_h 3` @ n d b I g { n s k_h r/ V b I N k_h h I m s E l f
L2_arctic_WAV/ABA_arctic_a0109,d u j u n o U D { t_h j u A r/ S e I k_h I N m a I k_h A n f @ d @ n s I n j u,d u j u n o U D { t_h j u A r/ S e I k_h I N k_h m a I k_h o U n f @ d @ n s I n j u
L2_arctic_WAV/ABA_arctic_a0111,I n s t_h E d h i dZ O I n d h 3` @ n d D e I e I t_h l a I k_h t_h u h V N g r/ i tS I l d r/ @ n,I s t_h E d h i Z O I n d h err @ n d D e I e I t_h l a I k_h t_h u h V n g r/ i tS E l d r/ @ n
L2_arctic_WAV/ABA_arctic_a0112,h i w A z w u n d @ d I n D V A r/ m,h i w A z w O n d @ d I n D V O r/ m
L2_arctic_WAV/ABA_arctic_a0113,a I s @ p_h o U z j u p_h I k_h t_h D { t_h l I N g o U V p_h @ m V N D @ I n d i @ n z,a I s @ b o U z j u b I k_h t_h D { t_h l I N g o U V p_h @ m V N k_h D @ I n d i @ n z
L2_arctic_WAV/ABA_arctic_a0115,h i h { d n o U I k_h s k_h j u z f O r/ D @ f i l I N z w I tS w 3` 3` a U z d I n h I m,h i h { d n o U I k_h s I k_h j u z f O r/ D @ f i l I N z w I tS w err 3` o U z d I n h I m
L2_arctic_WAV/ABA_arctic_a0116,w A z I t_h D V r/ A n d I v u V v D o U z h u w 3` s t_h r/ a I v I N t_h @ w 3` k_h h I z r/ u @ n,w A z E t_h D V r/ E n d I v u V v D o U z h u w err s t_h r/ a I v I N k_h t_h @ w 3` k_h h E z r/ u @ n
L2_arctic_WAV/ABA_arctic_a0117,S i { d I d w I D dZ E n j @ w @ n s I m p_h @ T i I n h 3` f e I s { n d v O I s,S i { d I d w I D dZ E n j @ n s I m p_h T i I n h err f e I s { n d @ v O I s
L2_arctic_WAV/ABA_arctic_a0120,m a I r/ a I t_h f U t_h f i l z l a I k_h D { t_h V v @ tS a I n i z d E b j @ t_h A n t_h,m a I r/ a I t_h f o U t_h f i err z l a I k_h D { t_h V v @ tS a I n i z d E b j @ t_h A n t_h
L2_arctic_WAV/ABA_arctic_a0121,D e I e I t_h d I n 3` { t_h D @ f I f T @ n d r/ E s t_h I d f O r/ t_h u a U r/ z,D e I e I t_h d I n 3` { t_h D E f I f T @ n d r/ E s t_h I d f O r/ t_h u a U r/ s
L2_arctic_WAV/ABA_arctic_a0122,t_h u j i 3` z @ g o U a I g e I v V p_h s I v @ l I z e I S @ n f O r/ D I s,t_h u j i r/ z @ g o U a I g e I v V p_h s I v @ l I z e I S @ n f O r/ D I T
L2_arctic_WAV/ABA_arctic_a0123,S i h { d d a I d f r/ V m k_h o U l d { n d s t_h A r/ v e I S @ n,S i h { d d a I d f r/ V m k_h o U l d { n d s t_h A r/ v e I S @ n
L2_arctic_WAV/ABA_arctic_a0125,h i w A z d I t_h 3` m @ n d n a U t_h u m e I n t_h e I n @ m O r/ s 3` t_h @ n h o U l d @ p_h A n h I m s E l f,h i w A z d I t_h 3` m @ n d @ n a U t_h u m e I n t_h e I n @ m O r/ s err t_h @ n o U l d @ p_h A n h E m s E l f
L2_arctic_WAV/ABA_arctic_a0126,i tS d e I S i b i k_h e I m @ m O r/ v a I t_h @ l p_h A r/ t_h V v h I m,E tS d e I S i b i k_h e I m @ m O r/ v a I t_h @ err p_h A r/ t_h V v h E m
L2_arctic_WAV/ABA_arctic_a0127,I t_h w A z @ t_h E m t_h e I S @ n b V t_h h i r/ i z I s t_h I d I t_h,I t_h w A z @ t_h E m b @ t_h e I S @ n b V t_h h i r/ i s I s t_h I d E t_h
L2_arctic_WAV/ABA_arctic_a0128,D I s w V n h o U p_h w O z d I s t_h r/ O I d { z k_h w I k_h l i { z I t_h w O z b O r/ n,z I s w V n h o U p_h w O z d I s t_h r/ O I d { z k_h w I k_h l i { z I t_h w O z p_h O r/
L2_arctic_WAV/ABA_arctic_a0129,h 3` f e I s w O z @ g e I n s t_h h I z b r/ E s t_h,h err f e I s w O z @ g e I n @ s t_h h I z p_h r/ E s t_h
L2_arctic_WAV/ABA_arctic_a0130,S i w O z h I z n a U f 3` E v 3`,S i w O z h I z n a U f 3` E v @
L2_arctic_WAV/ABA_arctic_a0131,p_h r/ A v @ d @ n s h { d d I l I v 3` d h I m T r/ u D V m e I l s t_h r/ @ m,b r/ o U v @ d @ n s h { d d I l E v 3` d h I m T r/ u D V m e I err @ s t_h O r/ m
L2_arctic_WAV/ABA_arctic_a0134,h i o U b e I d D V p_h r/ E S 3` V v h 3` h { n d,h i o U p_h e I d D V p_h r/ E S 3` V v h err h { n t_h
L2_arctic_WAV/ABA_arctic_a0136,@ b a U t_h h I m E v r/ i w E r/ w 3` D @ E v @ d @ n s @ z V v l V g Z 3` i @ n d V v e I dZ,@ b a U t_h h E m E v r/ i w E r/ w err D @ E v @ d @ n s V v l V g S 3` i @ n d V v E tS
L2_arctic_WAV/ABA_arctic_a0137,D E n h i s t_h E p_h t_h b { k_h w I D @ l o U k_h r/ a I V v p_h l E Z 3`,z E n h i s t_h E p_h d @ b { k_h w I D @ l o U k_h r/ a I V v p_h l E Z @
L2_arctic_WAV/ABA_arctic_a0139,h i t_h o U l d h I m s E l f D { t_h { z h i w A S t_h h I m s E l f @ n d g r/ u m d h I z d I S E v @ l d k_h l o U D z,h i t_h o U l d h I m s E l f @ D { t_h { z h i w o U Z d h I m s E l f @ n d g r/ u m d h I z d I S E v @ err d k_h l o U D @ s
L2_arctic_WAV/ABA_arctic_a0159,D e I l U k_h { z D o U h i h { d b I n d r/ V m I N @ p_h i { n o U O l h I z l a I f,z e I l U k_h { z s o U h i h { d b I n d r/ V m I N k_h @ p_h i { n o U O l h I z l a I f
L2_arctic_WAV/ABA_arctic_a0214,b I s a I d z h i w O z p_h e I d w V n k_h e I s V v t_h @ b { k_h o U p_h 3` h E d,b I s a I d z h i w O z b e I d w V n k_h e I s o U f t_h @ b { k_h o U b err h E t_h
L2_arctic_WAV/ABA_arctic_a0257,D e I A r/ k_h V m I N @ S O r/ h u E v 3` D e I A r/,D e I A err k_h V m I N g @ S O r/ h u E v @ D e I A r/
L2_arctic_WAV/ABA_arctic_a0300,f r/ V m m a I 3` l i @ s t_h r/ E k_h @ l E k_h S @ n m a I s l i p_h w O z @ p_h I r/ i @ d @ v t_h E r/ 3`,f err V m m a I 3` l @ s t_h r/ i k_h @ l E k_h S @ n m a I s l i p_h w O z @ p_h 3` r/ i @ d @ v t_h E r/ 3`
L2_arctic_WAV/ABA_arctic_a0379,h a U o U l d A r/ j u d { d i,h a U o U l d A r/ j u d { d i
L2_arctic_WAV/ABA_arctic_a0426,D e I d o U n n o U D @ l E N T V v t_h a I m V v I N k_h j u b e I S @ n,D e I d o U n n o U D @ l E n s V v d a I m V v I N k_h u b e I S @ n
L2_arctic_WAV/ABA_arctic_a0441,v a I l @ n t_h l a I f @ n d { T l E t_h I k_h s p_h O r/ t_h s h { d n E v 3` @ p_h i l d t_h u m i,v a I l @ n t_h l a I f @ n d { T @ l E t_h I k_h s p_h O r/ t_h s h { d n E v 3` @ b i err d t_h u m i
L2_arctic_WAV/ABA_arctic_a0461,A w i w 3` v E r/ i k_h l o U s t_h @ g E D 3` I n D { t_h m o U m @ n t_h,A w i w err v E r/ i k_h l o U s t_h @ g E D 3` I n D { t_h m o U m @ n t_h
L2_arctic_WAV/ABA_arctic_a0500,h u D @ d E v @ l g e I v I t_h t_h u j u t_h u b i dZ V dZ @ n d dZ U r/ i,h u z @ d E v @ err g e I v I t_h t_h u j u t_h u b i Z V dZ @ n d Z U r/ i
L2_arctic_WAV/ABA_arctic_a0501,j U r/ dZ o U k_h I N m i s 3` D V V D 3` m { n I dZ d t_h u A r/ t_h I k_h j @ l e I t_h,j U r/ Z o U k_h I N g @ m i s err D V V z err m { n I Z d t_h u A r/ t_h I k_h j @ l E t_h
L2_arctic_WAV/ABA_arctic_a0529,{ z a I s e I h i h { d t_h { p_h t_h D @ m E s I dZ v E r/ i r/ { p_h @ d l i,{ z a I s e I h i h { d t_h { p_h t_h z @ m E s I dZ v E r/ i r/ { b @ d l i
L2_arctic_WAV/ABA_arctic_a0548,O l s o U tS 3` tS @ z @ n d p_h r/ i tS 3` z a I h { d n E v 3` n o U n,O l s o U tS err tS @ s @ n d p_h r/ E tS 3` z a I h { d n E v 3` n o U n
L2_arctic_WAV/ABA_arctic_b0016,h i tS V k_h @ l d { z h i p_h U l d a U t_h h I z p_h a I p_h @ n d b I g { n f I l I N I t_h,h i tS V k_h @ l d { z h i p_h U l d a U t_h h I z f a I p_h @ n d b I g { n f I l I N g I t_h
L2_arctic_WAV/ABA_arctic_b0068,o U n l i D V tS { n s s a U n d h { d l E d h I m t_h u @ b z 3` v D E m,o U n l i D V tS { n s s a U n d h { d l E d h I m t_h u @ b z 3` v D E m
L2_arctic_WAV/ABA_arctic_b0083,I n I t_h D E r/ w A z s V m T I N D { t_h w O z O l m o U s t_h t_h r/ { dZ @ d i,E n E t_h z E r/ w A z s V m T I N z { t_h w O z O l m o U s t_h t_h r/ { dZ @ d i
L2_arctic_WAV/ABA_arctic_b0103,h i l I f t_h I d h I z a I z @ n d @ s t_h r/ e I n dZ k_h r/ a I b 3` s t_h f r/ V m h I z l I p_h s,h i l I f t_h I d h I z a I z @ n d @ s t_h r/ e I n dZ k_h r/ a I p_h r/ E s t_h f r/ V m h I z l I p_h s
